city,state,latitude,longitude,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,risk_score
Pune,Maharashtra,18.680827,73.930388,5,Sunday,1,highway,3,1,fog,low,32,high,weather,fatal,2,2,0,0.85
Mumbai,Maharashtra,18.817732,72.790846,4,Sunday,1,urban,4,0,clear,high,34,low,weather,major,4,3,0,0.1
Mumbai,Maharashtra,19.096889,72.819424,13,Wednesday,0,urban,3,0,fog,low,21,medium,weather,minor,1,1,0,0.45
Chandigarh,Punjab,30.787805,76.847507,11,Sunday,1,urban,1,1,fog,low,30,high,distraction,minor,5,2,0,0.65
Chennai,Tamil Nadu,12.965155,80.283313,16,Thursday,0,highway,3,1,clear,high,24,low,distraction,minor,2,1,0,0.1
Delhi,Delhi,28.79949,77.049666,8,Monday,0,urban,5,1,clear,high,36,high,overspeeding,fatal,4,4,1,0.65
Bangalore,Karnataka,13.064327,77.530941,6,Monday,0,highway,3,0,clear,high,33,high,drunk driving,minor,4,4,0,0.3
Chandigarh,Punjab,30.786617,76.733947,14,Sunday,1,urban,3,1,clear,high,25,low,weather,major,3,0,0,0.1
Hyderabad,Telangana,17.422447,78.464881,3,Friday,0,urban,1,0,rain,low,22,low,poor road,minor,1,0,0,0.45
Bangalore,Karnataka,12.939033,77.498966,4,Sunday,1,rural,3,1,clear,high,23,low,weather,minor,1,0,0,0.1
Chandigarh,Punjab,30.651926,76.876892,13,Wednesday,0,highway,1,1,fog,low,34,medium,poor road,minor,3,3,0,0.45
Bangalore,Karnataka,12.936802,77.469957,2,Thursday,0,urban,5,1,rain,medium,33,low,drunk driving,minor,2,0,0,0.25
Mumbai,Maharashtra,19.132036,72.76057,9,Tuesday,0,highway,5,1,rain,low,17,medium,weather,major,4,1,1,0.6
Pune,Maharashtra,18.532452,73.841799,8,Monday,0,highway,6,0,rain,low,40,medium,overspeeding,major,5,2,1,0.7
Chandigarh,Punjab,30.721892,76.711388,18,Sunday,1,urban,5,1,rain,medium,23,high,overspeeding,major,4,0,1,0.6
Chandigarh,Punjab,30.772308,76.768413,8,Monday,0,rural,1,0,clear,high,23,high,drunk driving,minor,4,4,1,0.45
Hyderabad,Telangana,17.382285,78.551704,11,Thursday,0,urban,6,0,rain,low,20,low,overspeeding,major,5,3,0,0.45
Chennai,Tamil Nadu,13.161404,80.197819,21,Tuesday,0,urban,1,1,fog,low,30,medium,distraction,fatal,5,5,0,0.65
Hyderabad,Telangana,17.570411,78.310647,18,Wednesday,0,urban,4,1,fog,low,21,high,distraction,fatal,1,1,1,1.0
Chandigarh,Punjab,30.629812,76.765481,2,Sunday,1,urban,5,1,fog,low,36,low,poor road,minor,2,0,0,0.45
Kolkata,West Bengal,22.459848,88.361745,1,Friday,0,highway,6,1,fog,low,30,low,drunk driving,fatal,5,5,0,0.65
Kolkata,West Bengal,22.692541,88.209956,0,Saturday,1,urban,3,0,fog,low,25,medium,weather,minor,4,1,0,0.45
Bangalore,Karnataka,12.911401,77.624696,3,Tuesday,0,urban,1,0,rain,low,26,medium,distraction,major,3,1,0,0.45
Chennai,Tamil Nadu,12.98416,80.153974,23,Wednesday,0,urban,2,0,clear,high,36,medium,distraction,minor,3,2,0,0.1
Delhi,Delhi,28.528171,77.003017,1,Sunday,1,highway,5,1,clear,high,29,high,drunk driving,minor,3,2,0,0.3
Delhi,Delhi,28.631253,77.168852,14,Wednesday,0,highway,4,0,rain,low,32,high,overspeeding,major,1,0,0,0.65
Chennai,Tamil Nadu,12.964354,80.262971,13,Friday,0,urban,6,0,clear,high,39,high,weather,major,1,1,0,0.3
Chennai,Tamil Nadu,13.171632,80.200311,5,Tuesday,0,highway,4,1,rain,medium,29,high,weather,minor,1,1,0,0.45
Mumbai,Maharashtra,18.876038,72.816062,8,Tuesday,0,rural,3,1,rain,medium,28,high,overspeeding,minor,1,1,1,0.6
Delhi,Delhi,28.494878,77.089734,17,Tuesday,0,urban,6,0,fog,low,17,high,drunk driving,minor,4,0,1,0.8
Bangalore,Karnataka,13.181455,77.704682,17,Sunday,1,rural,3,1,clear,high,36,high,distraction,minor,1,1,1,0.45
